Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID,Publication Type,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Source Title,Book Series Title,Book Series Subtitle,Language,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,Venue,Citations
"J Hartleb, M Friedrich, E Richter",,,Vehicle scheduling for on-demand vehicle fleets in macroscopic travel demand models,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation,16.0
"M Yan, J Wang, W Wang",,,Emotional interaction design for driverless food truck under campus scenarios,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advances in Industrial Design: Proceedings of …,2.0
"A Abdo, G Wu, N Abu-Ghazaleh",,,Cyber-security oriented co-simulation platform for connected and autonomous driving,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"SR Kothuri, V Nivedita, P Padmaloshani",,,Enhancing Pedestrian Safety in Autonomous Vehicles through Machine Learning,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023 International …,1.0
"A Barsos, C Koren, E Makó, D Miletics, R Nagy",,,Selected aspects of the road infrastructure in relation to vehicle automation,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"C Lu, Y Shi, H Zhang, M Zhang, T Wang",,,Learning configurations of operating environment of autonomous vehicles to maximize their collisions,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions …,37.0
"L Marchegiani, X Fafoutis",,,How well can driverless vehicles hear? an introduction to auditory perception for autonomous and smart vehicles,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Intelligent Transportation …,9.0
"M Hoggenmueller, M Tomitsch",,,Designing Interactions With Shared AVs in Complex Urban Mobility Scenarios,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frontiers in Computer …,7.0
"J Chen, Y Wang, R Wu",,,Spatial-temporal graph neural network for interaction-aware vehicle trajectory prediction,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 IEEE 17th …,9.0
"Y Matsui, S Oikawa",,,Characteristics of dangerous scenarios between vehicles turning right and pedestrians under left-hand traffic,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied Sciences,3.0
"L Crosato, HPH Shum, ESL Ho",,,Interaction-aware decision-making for automated vehicles using social value orientation,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions on …,40.0
"F Leon, M Gavrilescu",,,A review of tracking and trajectory prediction methods for autonomous driving,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mathematics,132.0
"G Ibanez, T Meuser, MA Lopez-Carmona",,,Synchronous roundabouts with rotating priority sectors (SYROPS): High capacity and safety for conventional and autonomous vehicles,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electronics,8.0
"S Zhou, X Sun, B Liu, G Burnett",,,Factors affecting pedestrians' trust in automated vehicles: Literature review and theoretical model,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions on Human …,19.0
"D Zhu, Q Khan, D Cremers",,,Multi-vehicle trajectory prediction and control at intersections using state and intention information,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neurocomputing,0.0
"J Hook, S El-Sedky, V De Silva, A Kondoz",,,Learning data-driven decision-making policies in multi-agent environments for autonomous systems,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cognitive Systems Research,19.0
"AY Bin-Nun, P Derler, N Mehdipour",,,"How should autonomous vehicles drive? Policy, methodological, and social considerations for designing a driver",2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities and social …,13.0
"B Bhatia, P Modi",,,Road Image Segmentation for Autonomous Car,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"SD Jagtap, SS Kanade",,,Exception Model for Brake Light Detection for Autonomous Vehicles,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 2nd International Conference on …,2.0
"J An, W Liu, Q Liu, L Guo, P Ren, T Li",,,DGInet: Dynamic graph and interaction-aware convolutional network for vehicle trajectory prediction,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neural Networks,26.0
"J Duan, Z Wang, X Jing",,,Digital Twin Test Method With LTE-V2X for Autonomous Vehicle Safety Test,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Internet of Things Journal,0.0
"J Caban, A Nieoczym, A Dudziak, T Krajka",,,The planning process of transport tasks for autonomous vans—Case study,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied Sciences,13.0
"Y Akbari, N Almaadeed, S Al-Maadeed",,,"Applications, databases and open computer vision research from drone videos and images: a survey",2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artificial Intelligence …,79.0
"M Gorobetz, J Timofejevs",,,Vehicle distance and speed estimation algorithm for computer vision sensor system,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 IEEE 62nd …,4.0
"S Thylashri, N Manikandaprabu, T Jayakumar",,,Effective Techniques for Pedestrian Detection in Smart Autonomous Vehicles,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Technology,0.0
"W Tabone, J De Winter, C Ackermann",,,Vulnerable road users and the coming wave of automated vehicles: Expert perspectives,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation research …,149.0
"H Li, Y Zhao, Z Mao, Y Qin, Z Xiao, J Feng, Y Gu",,,A survey on graph neural networks in intelligent transportation systems,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arXiv preprint arXiv …,7.0
"L Cao, Y Luo, Y Wang, J Chen",,,Vehicle sideslip trajectory prediction based on time-series analysis and multi-physical model fusion,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journal of Intelligent and …,4.0
"L Zhou, Y Song, Y Gao, Z Yu",,,GarchingSim: An Autonomous Driving Simulator with Photorealistic Scenes and Minimalist Workflow,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023 IEEE 26th …,1.0
"R Bakhrom, L Lan",,,Improve traffic organization in the passenger gravitation zone,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,… on Wavelet Active Media Technology and …,2.0
"J Li, H Ma, Z Zhang, J Li",,,Spatio-temporal graph dual-attention network for multi-agent prediction and tracking,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions on …,73.0
"X Xiao, Z Peng, Y Lin, Z Jin, W Shao",,,Parking prediction in smart cities: A survey,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions …,8.0
"A Karoonsoontawong, AT Win",,,"Mode choice analysis of first-mile shared autonomous vehicles service in Bangkok, Thailand",2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proceedings of the …,0.0
"M Won, S Kim",,,Verification and Validation Utilizing Carla Simulator for Autonomous Driving Development,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Conference on Simulation and Modeling …,0.0
"J Mason, C Carney, J Gaspar",,,Autonomous shuttle operating on highways and gravel roads in rural America: A demonstration study,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geriatrics,5.0
"S Vom Dorff, B Böddeker, M Kneissl",,,A fail-safe architecture for automated driving,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"… Design, Automation & …",16.0
"T Jing, H Xia, R Tian, H Ding, X Luo, J Domeyer",,,Inaction: Interpretable action decision making for autonomous driving,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,… on Computer Vision,21.0
"D Zheng, L Wang, C Kai, M Peng",,,Resource Optimization for Task Offloading With Real-Time Location Prediction in Pedestrian-Vehicle Interaction Scenarios,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions on …,1.0
"S Akhtar, S Habibi",,,The interacting multiple model smooth variable structure filter for trajectory prediction,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions on Intelligent …,11.0
"Z Zuo, X Wang, S Guo, Z Liu, Z Li",,,Trajectory prediction network of autonomous vehicles with fusion of historical interactive features,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions on …,10.0
"H Muslim, J Antona-Makoshi",,,A review of vehicle-to-vulnerable road user collisions on limited-access highways to support the development of automated vehicle safety assessments,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safety,6.0
"AR Alozi, M Hussein",,,Active road user interactions with autonomous vehicles: proactive safety assessment,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation research record,6.0
"AM Herrero, C Pérez-Benito, DP Salido",,,Pedestrian Movement Prediction Based on Camera Vision and Deep Learning Model,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023 IEEE 26th …,0.0
"HQ Bao, Q Kang, XD Shi, MC Zhou",,,Moment-based model predictive control of autonomous systems,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions …,12.0
"S Srinivasan, R Raman, CB Thacker",,,Smart Crosswalk Management with Vehicle-to-Pedestrian Communication,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023 International …,13.0
"C Anderson, R Vasudevan",,,Low latency trajectory predictions for interaction aware highway driving,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Robotics and …,3.0
"DJ Kangas, M Salem, K Li, T Ryynanen",,,Developing robust autonomous vehicles with ROS,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Autonomous …,0.0
"R Philipp, Z Zhu, J Fuchs, L Hartjen",,,Automated 3d object reference generation for the evaluation of autonomous vehicle perception,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,… on System Reliability …,6.0
R Chakra,,,Exiting the simulation: The road to robust and resilient autonomous vehicles at scale,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arXiv preprint arXiv:2210.10876,2.0
C Peterson,,,Divergent Paths: An Analysis of the Autonomous Future in McLean County,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"SS Kolekar, SS Gite, B Pradhan",,,Demystifying Artificial Intelligence based Behavior Prediction of Traffic Actors for Autonomous Vehicle-A Bibliometric Analysis of Trends and Techniques,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Library Philosophy and …,2.0
"R Kiruthikaa, BM Kumar, S Gopinath",,,Implementation of Autonomous Dimming Based on Iot for Preventing Accidents,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023 International …,0.0
"T Niels, K Bogenberger",,,Optimization-based intersection control for connected automated vehicles and pedestrians,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation …,3.0
"C Teng, Y Cai, X Sun, X Sun, H Wang",,,Multistep ahead prediction of vehicle lateral dynamics based on echo state model,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Sensors …,3.0
"MÁ Miguel Paraiso, FM Moreno Olivo, P Marín Plaza",,,A Research Platform for Autonomous Vehicles Technologies Research in the Insurance Sector,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"V Raimundo, M Favio",,,Driver intention prediction at roundabouts,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 XIX Workshop on Information …,1.0
B Karakostas,,,Control of autonomous UAV using an onboard LSTM neural network,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journal of Ubiquitous Systems & Pervasive Networks,1.0
S Roksic,,,An Inclusive Design Approach to Integrating an External Human Machine Interface with Autonomous Vehicles,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"P Cai, J He, Y Li",,,Hybrid cooperative intersection management for connected automated vehicles and pedestrians,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journal of Intelligent and Connected …,4.0
"M Islam, M Chowdhury, M Rahman",,,Time-to-approach-based model predictive controller for autonomous vehicle safety during unexpected wheelchairs on the path,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyber-Physical …,0.0
"S Pettigrew, L Booth, V Farrar, B Godic, J Brown, C Karl",,,Walking in the era of autonomous vehicles,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sustainability,5.0
"SM Khan, M Chowdhury",,,Situation-aware left-turning connected and automated vehicle operation at signalized intersections,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Internet of Things Journal,11.0
"F Ahmad, C Shin, W Pang, J Cashman, B Leong",,,iDriving: Toward safe and efficient infrastructure-directed autonomous driving,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arXiv preprint arXiv …,1.0
"F Zou, HW Deng, TU Iunn, JH Ogle",,,V2V-based Collision-avoidance Decision Strategy for Autonomous Vehicles Interacting with Fully Occluded Pedestrians at Midblock on Multilane Roadways,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,… on Transportation and …,2.0
"Z Liang, X Xu, S Deng, L Cai, T Jiang, K Jia",,,Exploring diversity-based active learning for 3d object detection in autonomous driving,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arXiv preprint arXiv …,14.0
"CR Pozna, C Antonya",,,Proposal of an autonomous vehicle control architecture,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 IEEE 25th International …,2.0
"V Papakostopoulos, D Nathanael, E Portouli",,,Effect of external HMI for automated vehicles (AVs) on drivers' ability to infer the AV motion intention: A field experiment,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,… research part F: traffic …,21.0
"A Shetty, M Yu, A Kurzhanskiy, O Grembek",,,Safety challenges for autonomous vehicles in the absence of connectivity,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,… research part C …,67.0
"S Marulanda, N Britten, CC Chang, J Shutko",,,An Evaluation of External Human-Machine Interfaces and Compliance with Federal Motor Vehicle Safety Standard 108,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
GS Nair,,,On Preference Modeling Techniques to Analyze Autonomous Vehicle Adoption and Use,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
SWZD Initiative,,,Investigation of Autonomous/Connected Vehicles in Work Zones,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
C Kauten,,,Applications of Computer Vision for the Improvement of Autonomous Vehicle Design,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
E Zhang,,,A Predictive-Prescriptive Safety Framework at Intersections in a Connected Vehicle Environment,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"Q Goss, Y AlRashidi, Mİ Akbaş",,,Generation of modular and measurable validation scenarios for autonomous vehicles using accident data,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 IEEE Intelligent Vehicles …,20.0
"C Zhang, J Zhu, W Wang, J Xi",,,Spatiotemporal learning of multivehicle interaction patterns in lane-change scenarios,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions on Intelligent …,45.0
"R Ezzati Amini, C Katrakazas, A Riener",,,"Interaction of automated driving systems with pedestrians: Challenges, current solutions, and recommendations for eHMIs",2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transport …,31.0
"N Zhong, MK Gupta, O Kochan",,,… the Efficacy of Real-Time Connected Vehicle Basic Safety Messages in Mitigating Aberrant Driving Behaviour and Risk of Vehicle Crashes: Preliminary Insights from …,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elektronika ir …,1.0
"Z Tong, A Ayala, EB Sandoval",,,Urban Autonomous Driving of Emergency Vehicles with Reinforcement Learning,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023 IEEE Latin American …,0.0
"SR Bonab, SJ Ghoushchi, M Deveci",,,Logistic autonomous vehicles assessment using decision support model under spherical fuzzy set integrated Choquet Integral approach,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert Systems with …,49.0
"Y Zhou, X Zeng",,,"Towards comprehensive understanding of pedestrians for autonomous driving: Efficient multi-task-learning-based pedestrian detection, tracking and attribute …",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robotics and Autonomous Systems,1.0
"S Abbasi, AM Rahmani",,,Artificial intelligence and software modeling approaches in autonomous vehicles for safety management: A systematic review,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information,7.0
"M Dimian, E Zadobrischi, A Căilean, C Beguni",,,Digital Transformation of the Transport Sector Towards Smart and Sustainable Mobility,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"… : Technology, Tools, and …",0.0
"J Ye, J Zhao, K Ye, C Xu",,,How to build a graph-based deep learning architecture in traffic domain: A survey,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions on Intelligent …,225.0
"L Wei, Z Li, J Gong, C Gong, J Li",,,"Autonomous driving strategies at intersections: Scenarios, state-of-the-art, and future outlooks",2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 IEEE International …,51.0
"H Liu, T Hirayama",,,Pre-instruction for Pedestrians Interacting Autonomous Vehicles with an eHMI: Effects on Their Psychology and Walking Behavior,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arXiv preprint arXiv:2303.08380,1.0
"I Gomes, D Wolf",,,A review on intention-aware and interaction-aware trajectory prediction for autonomous vehicles,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Authorea Preprints,9.0
"L Hou, SE Li, B Yang, Z Wang",,,Integrated graphical representation of highway scenarios to improve trajectory prediction of surrounding vehicles,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Transactions on …,10.0
A Rasouli,,,Deep learning for vision-based prediction: A survey,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arXiv preprint arXiv:2007.00095,52.0
